Column1;Column2;Helyiség;Total_car_count;car_count_less_than_10_years
Budapest Motors BMW és MINI;/partner/budapest_motors_bmw_es_mini-10405;Budapest;;
Bur-Comp Bt.;/partner/bur-comp_bt-19040;Budapest;;
BYD Schiller;/partner/byd_schiller-9135;Budapest;;
BYD Schiller Etele Plaza;/partner/byd_schiller_etele_plaza-20079;Budapest;;
BZ-Autó Trading Kft;/partner/bz-auto_trading_kft-20116;Budapest;;
BZS AUTÓPARK;/partner/bzs_autopark-19730;Budapest;;
BZsK Car;/partner/bzsk_car-19477;Budapest;;
Car 4 U;/partner/car_4_u-14264;Budapest;;
Car Assistance;/partner/car_assistance-20021;Budapest;;
Car BnB Autókereskedés;/partner/car_bnb_autokereskedes-15580;Budapest;;
Car Selection Plusz;/partner/car_selection_plusz-16529;Budapest;;
Car-Sale Hungary Kft.;/partner/car-sale_hungary_kft-10775;Budapest;;
Car-Van Kft.;/partner/car-van_kft-19872;Budapest;;
Car-World Kft.;/partner/car-world_kft-1426;Budapest;;
Carflow;/partner/carflow-19465;Budapest;;
Cargus;/partner/cargus-19919;Budapest;;
Carimmo-Box;/partner/carimmo-box-14970;Budapest;;
Carimpex Motorcentrum;/partner/carimpex_motorcentrum-17360;Budapest;;
CarLink Plus Kft.;/partner/carlink_plus_kft-20064;Budapest;;
"CarNet Auto-Fort - Chery; Bp., XXI.";/partner/carnet_auto-fort_-_chery_bp_xxi-15108;Budapest;;
"CarNet Auto-Fort - Ford, Chery; Bp., XXI.";/partner/carnet_auto-fort_-_ford_chery_bp_xxi-16081;Budapest;;
"CarNet Auto-Fort - Ford, Hyundai, Suzuki; Bp., IV.";/partner/carnet_auto-fort_-_ford_hyundai_suzuki_bp_iv-12008;Budapest;;
"CarNet Auto-Fort - Ford; Bp., IX";/partner/carnet_auto-fort_-_ford_bp_ix-10141;Budapest;;
"CarNet Auto-Fort - MG; Bp., XXI.";/partner/carnet_auto-fort_-_mg_bp_xxi-20297;Budapest;;
"CarNet Auto-Fort - Nissan, MG; Bp., XXI.";/partner/carnet_auto-fort_-_nissan_mg_bp_xxi-16822;Budapest;;
"CarNet Auto-Fort; Bp., XXI";/partner/carnet_auto-fort_bp_xxi-5935;Budapest;;
"CarNet Mirai - Mazda; Bp., XI.";/partner/carnet_mirai_-_mazda_bp_xi-11111;Budapest;;
"CarNet Mirai; Bp., XI.";/partner/carnet_mirai_bp_xi-6237;Budapest;;
Carnetfleet Kft.;/partner/carnetfleet_kft-17929;Budapest;;
"CarNetM5 - Toyota; Bp., IX.";/partner/carnetm5_-_toyota_bp_ix-3182;Budapest;;
"CarNetM5; Bp., IX";/partner/carnetm5_bp_ix-6007;Budapest;;
CarPáti Kft.;/partner/carpati_kft-6273;Budapest;;
Carpellino;/partner/carpellino-12661;Budapest;;
Cars & Care driven by Business Lease;/partner/cars_care_driven_by_business_lease-5867;Budapest;;
CARSALES AGENCY;/partner/carsales_agency-20235;Budapest;;
Cartarget;/partner/cartarget-17857;Budapest;;
Cartis Flottakezelő Kft.;/partner/cartis_flottakezelo_kft-15843;Budapest;;
CarZone - Minőségi használt autók;/partner/carzone_-_minosegi_hasznalt_autok-17900;Budapest;;
Cattanicar Kft.;/partner/cattanicar_kft-15142;Budapest;;
Cayman autóudvar;/partner/cayman_autoudvar-19383;Budapest;;
CE Dynamic Kft.;/partner/ce_dynamic_kft-19455;Budapest;;
Centrum Car;/partner/centrum_car-16522;Budapest;;
Chery Centrum;/partner/chery_centrum-19839;Budapest;;
Cilike Autó;/partner/cilike_auto-10891;Budapest;;
Citroen M5 Center;/partner/citroen_m5_center-2520;Budapest;;
Clever Auto Kft.;/partner/clever_auto_kft-20102;Budapest;;
CODEFON-SOLAR Kft.;/partner/codefon-solar_kft-17880;Budapest;;
Colar car;/partner/colar_car-19039;Budapest;;
Color Top Bt.;/partner/color_top_bt-6291;Budapest;;
Colosseum Auto;/partner/colosseum_auto-16788;Budapest;;
CONOR CARS;/partner/conor_cars-16862;Budapest;;
Corner Car Center Kft.;/partner/corner_car_center_kft-19704;Budapest;;
Corrado Car Kft.;/partner/corrado_car_kft-6970;Budapest;;
Correct Car;/partner/correct_car-10831;Budapest;;
Correct Car;/partner/correct_car-18722;Budapest;;
Credit Car Csepel Kft.;/partner/credit_car_csepel_kft-164;Budapest;;
Császár-Motorsport Kft.;/partner/csaszar-motorsport_kft-15579;Budapest;;
Cser Autó 67 Kft.;/partner/cser_auto_67_kft-1430;Budapest;;
Csigateam;/partner/csigateam-20142;Budapest;;
D and B Autó;/partner/d_and_b_auto-19773;Budapest;;
DAF Trucks;/partner/daf_trucks-776;Budapest;;
Dajka Trade Kft.;/partner/dajka_trade_kft-2134;Budapest;;
Delta Market;/partner/delta_market-16660;Budapest;;
Delta Popp - Vezér Autó;/partner/delta_popp_-_vezer_auto-2970;Budapest;;
Delta-Log-Plusz Kft.;/partner/delta-log-plusz_kft-6340;Budapest;;
Delta-Popp-Róbert Autó;/partner/delta-popp-robert_auto-13340;Budapest;;
DemetCar;/partner/demetcar-15669;Budapest;;
Demiro Autó;/partner/demiro_auto-18866;Budapest;;
Demo Car Kft.;/partner/demo_car_kft-10213;Budapest;;
Devil-Verda Kft.;/partner/devil-verda_kft-16790;Budapest;;
DIPOL Kft.;/partner/dipol_kft-17917;Budapest;;
Diverse Luxury;/partner/diverse_luxury-19670;Budapest;;
DL88 Solution Cars Kft;/partner/dl88_solution_cars_kft-14664;Budapest;;
Dömötör Peter Gergely;/partner/domotor_peter_gergely-20182;Budapest;;
DON CAR LEONE;/partner/don_car_leone-7309;Budapest;;
Double Car Hungary Kft;/partner/double_car_hungary_kft-17748;Budapest;;
Dream-Car Autóügynökség;/partner/dream-car_autougynokseg-1994;Budapest;;
DS Store Budapest;/partner/ds_store_budapest-18299;Budapest;;
Duna Autó Zrt.;/partner/duna_auto_zrt-2411;Budapest;;
Duna Autó Zrt.;/partner/duna_auto_zrt-5954;Budapest;;
Easysell - Az Ön személyes autóértékesítője;/partner/easysell_-_az_on_szemelyes_autoertekesitoje-18243;Budapest;;
Easysell Hungary Kft (kieg);/partner/easysell_hungary_kft_kieg-19482;Budapest;;
EAutópark;/partner/eautopark-18674;Budapest;;
EdeTeszt;/partner/edeteszt-18430;Budapest;;
Edit-Cars & Rent Kft.;/partner/edit-cars_rent_kft-19379;Budapest;;
Elegance Autó Kft.;/partner/elegance_auto_kft-171;Budapest;;
Elite Auto-Budapest;/partner/elite_auto-budapest-16445;Budapest;;
Emil Frey M5 Center;/partner/emil_frey_m5_center-375;Budapest;;
Emil Frey Magyarország Kft.;/partner/emil_frey_magyarorszag_kft-452;Budapest;;
Energy-sarok;/partner/energy-sarok-17610;Budapest;;
ErgyuAutó;/partner/ergyuauto-17574;Budapest;;
ESSSO AUTÓUDVAR;/partner/essso_autoudvar-166;Budapest;;
Észak-Pesti Autópark;/partner/eszak-pesti_autopark-6119;Budapest;;
Ethno Car Kft.;/partner/ethno_car_kft-19545;Budapest;;
EV Future;/partner/ev_future-18808;Budapest;;
Exclusive Cars;/partner/exclusive_cars-12312;Budapest;;
Executive Car Rent Kft.;/partner/executive_car_rent_kft-18295;Budapest;;
Farkas Barbara Ágnes;/partner/farkas_barbara_agnes-19535;Budapest;;
Fastback Kft.;/partner/fastback_kft-2871;Budapest;;
Fejes Caravan;/partner/fejes_caravan-10535;Budapest;;
Fémalk Zrt.;/partner/femalk_zrt-17505;Budapest;;
Fennsík Autópark;/partner/fennsik_autopark-10454;Budapest;;
Fényes-Autó Kereskedés;/partner/fenyes-auto_kereskedes-15701;Budapest;;
Fleetconcept Magyarország Kft.;/partner/fleetconcept_magyarorszag_kft-16260;Budapest;;
FleetWood Car;/partner/fleetwood_car-17305;Budapest;;
Flex-Car;/partner/flex-car-12081;Budapest;;
Flexfleet Zrt.;/partner/flexfleet_zrt-17821;Budapest;;
Flexi-Car;/partner/flexi-car-3363;Budapest;;
Flexker Autócentrum Kft.;/partner/flexker_autocentrum_kft-16212;Budapest;;
FLOW-CAR;/partner/flow-car-3515;Budapest;;
FM Elit Automobil;/partner/fm_elit_automobil-15853;Budapest;;
Földi-Family kft.;/partner/foldi-family_kft-8007;Budapest;;
Főnix-Motors Kft.;/partner/fonix-motors_kft-17353;Budapest;;
Ford Petrányi Kerepesi út 105.;/partner/ford_petranyi_kerepesi_ut_105.-16731;Budapest;;
Ford Petrányi Üllői út 309.;/partner/ford_petranyi_ulloi_ut_309.-16733;Budapest;;
Ford Petrányi-Budaörsi út;/partner/ford_petranyi-budaorsi_ut-4972;Budapest;;
Ford Petrányi-Kerepesi út;/partner/ford_petranyi-kerepesi_ut-1143;Budapest;;
Ford Petrányi-Üllői út;/partner/ford_petranyi-ulloi_ut-260;Budapest;;
FordStore Solymár-M3 Budapest;/partner/fordstore_solymar-m3_budapest-11615;Budapest;;
FordStore Solymár-M3 Budapest;/partner/fordstore_solymar-m3_budapest-11616;Budapest;;
Forward Industries Zrt.;/partner/forward_industries_zrt-12975;Budapest;;
FourAuto;/partner/fourauto-9274;Budapest;;
Frank Auto Kft.;/partner/frank_auto_kft-17919;Budapest;;
FRD Premium Car 2024 Kft.;/partner/frd_premium_car_2024_kft-19399;Budapest;;
FS Autó;/partner/fs_auto-13648;Budapest;;
Furgon Farm;/partner/furgon_farm-1032;Budapest;;
FZ Cars Kft.;/partner/fz_cars_kft-17688;Budapest;;
Gablini Használtautó;/partner/gablini_hasznaltauto-9;Budapest;;
Gablini Nissan M3;/partner/gablini_nissan_m3-16749;Budapest;;
GardaPlus;/partner/gardaplus-8922;Budapest;;
GBR-Energy Kft.;/partner/gbr-energy_kft-14232;Budapest;;
General Autóudvar Kft.;/partner/general_autoudvar_kft-16418;Budapest;;
Ghost Cars;/partner/ghost_cars-20267;Budapest;;
GL Autó;/partner/gl_auto-5430;Budapest;;
Global Autocentrum Kft.;/partner/global_autocentrum_kft-14551;Budapest;;
Golden Credit Car Kft.;/partner/golden_credit_car_kft-7285;Budapest;;
Good MaxCar Kft.;/partner/good_maxcar_kft-19308;Budapest;;
GPS Európa Kft.;/partner/gps_europa_kft-20098;Budapest;;
Grafour Team Kft.;/partner/grafour_team_kft-8935;Budapest;;
Green Autókölcsönző;/partner/green_autokolcsonzo-19282;Budapest;;
Green Cars;/partner/green_cars-15471;Budapest;;
GyuPa;/partner/gyupa-16096;Budapest;;
Ha-Rem Kft.;/partner/ha-rem_kft-1829;Budapest;;
Hajdu Capital Kft.;/partner/hajdu_capital_kft-8374;Budapest;;
Happy End Auto;/partner/happy_end_auto-19238;Budapest;;
Harmati Vivien E.V.;/partner/harmati_vivien_ev-20056;Budapest;;
Harum Investment Zrt.;/partner/harum_investment_zrt-8387;Budapest;;
Használt Autó Maxabo;/partner/hasznalt_auto_maxabo-16181;Budapest;;
Használtautó Kft. (SAJÁT CÉG);/partner/hasznaltauto_kft_sajat_ceg-20033;Budapest;;
Használtautó Kft. (SAJÁT CÉG);/partner/hasznaltauto_kft_sajat_ceg-20105;Budapest;;
Használtautó Kft. (SAJÁT CÉG);/partner/hasznaltauto_kft_sajat_ceg-20119;Budapest;;
Használtautó Kft. (SAJÁT CÉG);/partner/hasznaltauto_kft_sajat_ceg-20120;Budapest;;
Használtautó Kft. (SAJÁT CÉG);/partner/hasznaltauto_kft_sajat_ceg-20165;Budapest;;
Használtkocsi Kft.;/partner/hasznaltkocsi_kft-11952;Budapest;;
Határautó;/partner/hatarauto-951;Budapest;;
Hegedős Dániel Sándor E.V.;/partner/hegedos_daniel_sandor_ev-16911;Budapest;;
High Line Yachting Group (E-Hajó Center);/partner/high_line_yachting_group_e-hajo_center-16968;Budapest;;
Hilltop Autó;/partner/hilltop_auto-7622;Budapest;;
HipHop Autó;/partner/hiphop_auto-954;Budapest;;
Hofer Autó;/partner/hofer_auto-10333;Budapest;;
Honda Budaörs;/partner/honda_budaors-13822;Budapest;;
Honda Dream;/partner/honda_dream-3834;Budapest;;
Honda Dream;/partner/honda_dream-5960;Budapest;;
Honda Éles;/partner/honda_eles-296;Budapest;;
Honda Karasna;/partner/honda_karasna-4997;Budapest;;
Honda Szallerbeck;/partner/honda_szallerbeck-3701;Budapest;;
Honda Szallerbeck;/partner/honda_szallerbeck-10356;Budapest;;
Hope For Autócentrum;/partner/hope_for_autocentrum-340;Budapest;;
HOT ROD;/partner/hot_rod-5476;Budapest;;
HP Autó Kft.;/partner/hp_auto_kft-14769;Budapest;;
HTH Cartrading Kft.;/partner/hth_cartrading_kft-18837;Budapest;;
Hungarikum Autó Kft.;/partner/hungarikum_auto_kft-11737;Budapest;;
Hungaro Autócenturm Kft.;/partner/hungaro_autocenturm_kft-9924;Budapest;;
Hybrid Center;/partner/hybrid_center-13882;Budapest;;
Hybridomakft;/partner/hybridomakft-20257;Budapest;;
Hyster;/partner/hyster-16886;Budapest;;
Hyundai Gablini;/partner/hyundai_gablini-2397;Budapest;;
HZ Car;/partner/hz_car-20025;Budapest;;
IBUSZ;/partner/ibusz-18583;Budapest;;
Igor Car Hungary Kft.;/partner/igor_car_hungary_kft-15842;Budapest;;
Ildicar Kft.;/partner/ildicar_kft-1283;Budapest;;
Immomobil Kft.;/partner/immomobil_kft-13376;Budapest;;
IMPERIAL-AUTO;/partner/imperial-auto-7803;Budapest;;
Importautok.com;/partner/importautokcom-20269;Budapest;;
Indian Budapest;/partner/indian_budapest-20274;Budapest;;
Indian Budapest;/partner/indian_budapest-20305;Budapest;;
Infinit E Solutions Kft.;/partner/infinit_e_solutions_kft-16220;Budapest;;
Infinite Autó;/partner/infinite_auto-13516;Budapest;;
Ingolstadt Auto;/partner/ingolstadt_auto-16371;Budapest;;
INTEGRITY Car;/partner/integrity_car-19528;Budapest;;
Inter AG BDPST Kft.;/partner/inter_ag_bdpst_kft-13889;Budapest;;
Intercar Autók;/partner/intercar_autok-10783;Budapest;;
Iris Kereskedőház Csoport Kft.;/partner/iris_kereskedohaz_csoport_kft-18128;Budapest;;
Ironpaw;/partner/ironpaw-19713;Budapest;;
IVANICS Autópark-kezelő Kft. (kieg);/partner/ivanics_autopark-kezelo_kft_kieg-20006;Budapest;;
Ivanics Bp - Volvo és Ford;/partner/ivanics_bp_-_volvo_es_ford-14560;Budapest;;
Ivanics használt motor;/partner/ivanics_hasznalt_motor-19865;Budapest;;
Ivanics Kft. Budapest Ford;/partner/ivanics_kft_budapest_ford-5443;Budapest;;
Ivanics Kft. Budapest Volvo;/partner/ivanics_kft_budapest_volvo-2214;Budapest;;
Ivanics Motor Kft. *Budapest* használt;/partner/ivanics_motor_kft_budapest_hasznalt-5946;Budapest;;
